raw_name,manual_name,manual_comments
Gulf flounder and needlefish,Undefined,Several species
Southern hake and sea robins,Undefined,Several species
Atlantic silverside and bay anchovies,Undefined,Several species
Fish and crustacean-eating birds,Undefined,Several species
Hydraena homalaena Type H1,Hydraena homalaena sp1,
Hydraena homalaena Type H2,Hydraena homalaena sp2,
Hydrobiosis type Black Pronotum,Hydrobiosis sp1,
Chironomid type Diamesid Blond,Diamesinae,
Chironomid type Diamesid Brown Orange,Diamesinae,
Chironomid type Orthoclad Blue Black,Orthocladiinae,
Chironomid type Tanypod New,Tanypodinae,
Chrinomid type Eukief Shiny Black,Eukiefferiella,
Chironomid type Eukief Shiny Black,Eukiefferiella,
Chironomid type Large Tanytarsini,Tanytarsini,
Chironomid type Orthoclad Blue Blond,Orthocladiinae,
Strophosomus capitatus de Geer,Strophosomus capitatus,
Rubus idaeus f marmoratus,Rubus idaeus,Hybrid species
Acalyptrate sp1 M_PL_062,Acalyptratae,Common name
Acaena pinn,Acaena pinnatifida,
Acnanthidium saxonica,Achnanthidium sp1,Species unknown
Adesmia brachy,Adesmia brachysemeon,
Agemilla dulcifera subflavescens,Undefined,Not found
Agrotis ipsilon anieturma,Agrotis ipsilon,Subspecies unknown
Ahlber ferra,Undefined,Not found
Alophera sp1 M_PL_019,Undefined,Not found
Amphipods,Amphipoda,Common name
Anchovy,Engraulidae,Common name
Andreana sp1 M_PL_046,Tillandsia andreana,Common name
Anglerfishes,Lophiiformes,Common name
Anornalempis sp1 M_PL_044,Undefined,No synonym found
Anosymia sp1 M_PL_006,Undefined,No synonym found
Anthocris scolymus,Anthocharis scolymus,Spelling mistake
Aoteaphsyche sp1 FW_014_03,Aoteapsyche,Spelling mistake
Aphrotenidae,Undefined,No synonym found
Aquatic insects,Undefined,Broad functional group
Aquatic macrophytes,Undefined,Broad functional group
Arasehmia burejana,Araschnia burejana,Spelling mistake
Argirophenga sp1 M_PL_027,Argyrophenga,Spelling mistake
Argirophenga sp1 M_PL_028,Argyrophenga,Spelling mistake
Argirophenga sp1 M_PL_029,Argyrophenga,Spelling mistake
Asarcuna porcina,Undefined,No synonym found
Asclepius sp1 A_PH_005,Asclepias sp1 A_PH_005,Spelling mistake
Aspectrotanypus,Apsectrotanypus,Spelling mistake
Asteroids,Undefined,Weird name
Athidium sp1 M_PL_030,Anthidium sp1 M_PL_030,Spelling mistake
Auodinella,Audouinella,Spelling mistake
